Name,Height,Pos,Team,Weight,cluster
Monta Ellis,187.5,SG,DAL,83.25,1
Nazr Mohammed,205.0,C,CHI,99.45,0
Nene,207.5,PF,WAS,112.5,2
Nerlens Noel,207.5,C,PHI,102.6,0
Nick Calathes,195.0,SG,MEM,95.85,4
Nick Collison,205.0,PF,OKC,114.75,2
Nick Johnson,187.5,SG,HOU,90.9,1
Nicolas Batum,200.0,SF,POR,90.0,4
Nik Stauskas,195.0,SG,SAC,92.25,4
Nikola Mirotic,205.0,PF,CHI,99.0,0
Nikola Vucevic,210.0,C,ORL,117.0,2
Noah Vonleh,205.0,PF,CHA,108.0,0
Norris Cole,185.0,PG,NOH,78.75,3
O.J. Mayo,192.5,SG,MIL,94.5,4
Ognjen Kuzmic,212.5,C,GSW,112.95,2
Omer Asik,210.0,C,NOH,114.75,2
Omri Casspi,202.5,SF,SAC,101.25,0
Otto Porter Jr.,200.0,SF,WAS,89.1,4
Pablo Prigioni,187.5,PG,NYK,83.25,1
Patrick Beverley,182.5,PG,HOU,83.25,3
Patrick Christopher,192.5,SG,UTA,94.05,4
Patty Mills,180.0,PG,SAS,83.25,3
Pau Gasol,210.0,PF,CHI,112.5,2
Paul George,202.5,SF,IND,99.0,0
Paul Millsap,200.0,PF,ATL,110.7,0
Paul Pierce,197.5,SF,WAS,105.75,0
Pero Antic,207.5,PF,ATL,117.0,2
Perry Jones III,207.5,SF,OKC,105.75,0
Phil Pressey,177.5,PG,BOS,78.75,3
PJ Hairston,195.0,SG,CHA,103.5,0
Quincy Acy,197.5,PF,NYK,108.0,0
Quincy Miller,202.5,PF,SAC,94.5,4
Quincy Pondexter,197.5,SF,NOH,99.0,4
Rajon Rondo,182.5,PG,DAL,83.7,3
Ramon Sessions,187.5,PG,WAS,85.5,1
Randy Foye,190.0,SG,DEN,95.85,4
Rasual Butler,197.5,SF,WAS,96.75,4
Ray McCallum,187.5,PG,SAC,85.5,1
Raymond Felton,182.5,PG,DAL,92.25,1
